조사년도,개방ID,학교명,시도명,학교구분명,전문대_여자재학생수,전문대_재학생수,전문대_재적여학생수,전문대_재적학생수,전문대_학사심화과정입학정원수,전문대_입학정원수,전문대_심화과정학과수,전문대_학과수,전문대_휴학생수,전문대_여자휴학생수,전문대_야간4학년재적여학생수,전문대_야간4학년재적학생수,전문대_야간3학년재적여학생수,전문대_야간3학년재적학생수,전문대_야간2학년재적여학생수,전문대_야간2학년재적학생수,전문대_야간1학년재적여학생수,전문대_야간1학년재적학생수,전문대_야간여자휴학생수,전문대_야간휴학생수,전문대_야간여자재학생수,전문대_야간재학생수,전문대_주간학사심화과정4학년재적학생수,전문대_주간학사심화과정3학년재적학생수,전문대_주간학사심화과정2학년재적학생수,전문대_주간학사심화과정1학년재적학생수,전문대_주간4학년재적여학생수,전문대_주간4학년재적학생수,전문대_주간3학년재적여학생수,전문대_주간3학년재적학생수,전문대_주간2학년재적여학생수,전문대_주간2학년재적학생수,전문대_주간1학년재적여학생수,전문대_주간1학년재적학생수,전문대_주간여자휴학생수,전문대_주간휴학생수,전문대_주간여자재학생수,전문대_주간재학생수,전문대_여자졸업생수,전문대_졸업생수,전문대_학사심화과정여자입학생수,전문대_학사심화과정입학생수,전문대_여자입학생수,전문대_입학생수,전문대_야간학사심화과정4학년재적학생수,전문대_야간학사심화과정3학년재적학생수,전문대_야간학사심화과정2학년재적학생수,전문대학_주간학사심화과정재적학생수,전문대학_주간학사심화과정재적여학생수,전문대_건물면적,전문대학_주간학사심화과정1학년재적여학생수,전문대학_주간학사심화과정2학년재적여학생수,전문대_교원정원수,전문대_교원수,전문대_학교수,전문대_사무직원정원수,전문대_사무직원수,전문대학_야간학사심화과정4학년재적여학생수,전문대학_야간학사심화과정3학년재적여학생수,전문대학_야간학사심화과정2학년재적여학생수,전문대학_야간학사심화과정1학년재적여학생수,전문대학_야간학사심화과정재적학생수,전문대학_야간학사심화과정재적여학생수,전문대_여자교원수,전문대_여자사무직원수,전문대학_주간학사심화과정4학년재적여학생수,전문대학_주간학사심화과정3학년재적여학생수,전문대_야간학사심화과정1학년재적학생수,,,,,
2009,1016650617,동의과학대학,부산,전문대학,1960,5573,2179,10604,120,0,2,94,5031,219,0,0,3,59,119,565,116,529,17,289,223,895,0,0,0,0,0,0,77,349,951,3858,911,5213,202,4742,1737,4678,732,2041,2,15,933,2758,0,0,23,0,0,59146,0,0,303,156,1,163,86,0,0,2,0,31,2,26,26,0,0,8,,,,개방ID,학교명
2009,1074720442,백제예술대학,전북,전문대학,993,1841,1238,2939,0,0,0,20,1098,245,0,0,0,0,18,45,2,10,5,30,15,25,0,0,0,0,0,0,43,83,580,1378,595,1423,240,1068,978,1816,380,649,0,0,526,1048,0,0,0,0,0,37474,0,0,106,51,1,48,33,0,0,0,0,0,0,20,7,0,0,0,,,,1016650617,동의과학대학
2009,1140140593,대구과학대학,대구,전문대학,2423,3785,2507,4901,0,0,0,44,1116,84,0,0,0,0,68,124,58,107,4,38,122,193,0,0,0,0,0,0,344,404,899,1939,1138,2327,80,1078,2301,3592,785,1240,0,0,1177,2002,0,0,0,0,0,53284,0,0,221,113,1,58,40,0,0,0,0,0,0,41,10,0,0,0,,,,1074720442,백제예술대학
2009,1187306702,조선간호대학,광주,전문대학,677,728,692,772,0,0,0,1,44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,238,231,268,234,266,15,44,677,728,207,213,0,0,229,258,0,0,0,0,0,8128,0,0,31,16,1,16,9,0,0,0,0,0,0,14,4,0,0,0,,,,1140140593,대구과학대학
2009,1206785976,명지전문대학,서울,전문대학,5208,9394,5791,13189,240,0,9,88,3795,583,0,0,76,148,966,2003,996,1958,208,935,1891,3332,0,0,0,0,0,0,240,564,1840,4509,1612,3849,375,2860,3317,6062,2365,4215,26,71,2429,4353,0,0,83,0,0,54350,0,0,286,210,1,115,121,0,0,32,29,158,61,59,43,0,0,75,,,,1187306702,조선간호대학
2009,1370042920,대원대학,충북,전문대학,1366,2651,1483,4059,100,0,5,47,1408,117,0,0,0,0,36,63,33,87,3,6,100,200,0,0,0,0,0,0,153,212,597,1744,630,1897,114,1402,1266,2451,509,1039,35,57,625,1396,0,0,35,0,0,30764,0,0,155,79,1,63,36,0,0,26,8,56,34,26,7,0,0,21,,,,1206785976,명지전문대학
2009,1429644823,신성대학,충남,전문대학,1880,3931,2146,6970,120,0,6,40,3039,266,0,0,0,0,31,174,51,170,10,57,134,402,0,0,0,0,0,0,322,416,836,3035,844,3060,256,2982,1746,3529,651,1493,52,82,791,1918,0,0,84,0,0,36358,0,0,193,104,1,88,58,0,0,50,12,115,62,32,16,0,0,31,,,,1370042920,대원대학
2009,1560480296,한국복지대학교,경기,전문대학,219,467,234,529,0,0,0,11,62,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,114,242,113,268,15,62,219,467,103,177,0,0,106,244,0,0,0,0,0,14284,0,0,28,54,1,42,42,0,0,0,0,0,0,18,13,0,0,0,,,,1429644823,신성대학
2009,1640844106,경원전문대학,경기,전문대학,0,0,198,1595,0,0,0,63,1595,198,0,0,31,42,34,253,14,175,79,470,0,0,0,0,0,0,0,0,51,73,51,695,17,357,119,1125,0,0,39,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1560480296,한국복지대학교
2009,1749948859,대전과학기술대학교,대전,전문대학,2663,4190,2920,5961,70,0,2,57,1771,257,0,0,0,0,24,61,10,40,0,0,81,148,0,0,0,0,0,0,296,324,1197,2704,1346,2785,257,1771,2582,4042,1206,1756,48,48,1254,2163,0,0,47,0,0,60201,0,0,210,106,1,116,47,0,0,47,0,47,47,40,13,0,0,0,,,,1640844106,경원전문대학
2009,1849240481,신안산대학,경기,전문대학,1627,3869,1872,6979,0,0,0,46,3110,245,0,0,0,1,80,291,83,275,19,236,144,331,0,0,0,0,0,0,60,130,801,3066,848,3216,226,2874,1483,3538,693,1601,0,0,831,2168,0,0,0,0,0,57999,0,0,205,93,1,48,68,0,0,0,0,0,0,15,9,0,0,0,,,,1749948859,대전과학기술대학교
2009,1930877268,가톨릭상지대학,경북,전문대학,1108,1931,1274,3072,20,0,1,31,1141,166,0,0,0,0,93,148,106,168,29,61,173,273,0,0,0,0,0,0,187,251,408,1241,477,1246,137,1080,935,1658,446,758,3,10,486,894,0,0,8,0,0,35729,0,0,113,57,1,38,42,0,0,0,3,18,3,23,15,0,0,10,,,,1849240481,신안산대학
2009,1993808865,부산여자대학,부산,전문대학,3543,3543,3790,3790,40,0,2,43,247,247,0,0,0,0,155,155,127,127,27,27,270,270,0,0,0,0,0,0,0,0,1752,1752,1741,1741,220,220,3273,3273,1729,1729,0,0,1763,1763,0,0,15,0,0,49340,0,0,169,82,1,126,69,0,0,15,0,15,15,40,50,0,0,0,,,,1930877268,가톨릭상지대학
2009,2132430791,웅지세무대학,경기,전문대학,760,1586,843,2197,0,0,0,6,611,83,0,0,0,0,31,48,17,41,1,4,47,85,0,0,0,0,0,0,0,0,335,855,460,1253,82,607,713,1501,201,401,0,0,459,1051,0,0,0,0,0,6573,0,0,61,53,1,49,30,0,0,0,0,0,0,12,0,0,0,0,,,,1993808865,부산여자대학
2009,2150788903,신구대학,경기,전문대학,3920,6436,4341,9323,200,0,9,51,2887,421,0,0,52,107,583,1232,491,1291,149,815,1015,1889,0,0,0,0,0,0,434,665,1350,3108,1393,2846,272,2072,2905,4547,1660,2647,22,40,1784,3015,0,0,43,0,0,55576,0,0,306,162,1,68,50,0,0,25,13,74,38,51,11,0,0,31,,,,2132430791,웅지세무대학
2009,2162164151,경북보건대학교,경북,전문대학,867,1272,896,1678,0,0,0,24,406,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,220,342,665,374,793,29,406,867,1272,221,352,0,0,361,593,0,0,0,0,0,14899,0,0,71,26,1,35,16,0,0,0,0,0,0,10,6,0,0,0,,,,2150788903,신구대학
2009,2190562844,가천길대학,인천,전문대학,0,26,8,251,0,0,0,31,225,8,0,0,0,3,1,63,1,37,2,97,0,6,0,0,0,0,0,0,4,10,2,114,0,24,6,128,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2162164151,경북보건대학교
