정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,11624263.333333334
,교직원보수,0.0
,기타 교직원 보수,10041480.0
,교직원 복지 및 역량강화,1582783.3333333333
학생복지/교육격차 해소,학생복지/교육격차 해소,163011138.0
,급식 관리,119827660.0
,기숙사 관리,0.0
,보건관리,30895076.666666668
,교육격차 해소,1364666.6666666667
,학생복지,10923734.666666666
기본적 교육활동,기본적 교육활동,127878574.66666667
,교과 활동,106105804.66666667
,창의적 체험활동,19439436.666666668
,자유학기(년) 활동,2333333.3333333335
선택적 교육활동,선택적 교육활동,84861126.66666667
,방과후학교 운영,60684250.0
,직업교육,0.0
,국제교육,0.0
,독서활동,10113403.333333334
,교기육성,49300.0
,기타 선택적 교육활동,14014173.333333334
교육활동 지원,교육활동 지원,131647883.33333333
,교무업무 운영,4145733.3333333335
,생활지도 운영,9081450.0
,연구학교 운영,3552216.6666666665
,학습지원실 운영,4387400.0
,교육여건 개선,110481083.33333333
학교 일반운영,학교 일반운영,135506096.66666666
,학교기관운영,31610500.0
,시설 장비 유지,102225266.66666667
,학교운영 협력,1670330.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,18368890.0
,반환금,18368890.0
,예비비,0.0
세출합계,세출합계,672897972.6666666
