과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,33614364240.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,8200000.0
,,국고보조금,국고보조금,8200000.0
,,,국고보조금,8200000.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,4807307710.0
,,비법정이전수입,비법정이전수입,2783997340.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,2783997340.0
,,교육경비보조금,교육경비보조금,2023310370.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,2023310370.0
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,28585564170.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,28585564170.0
,,,교육비특별회계전입금,28585564170.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,213292360.0
,,학교회계간이전수입,학교회계간이전수입,147369360.0
,,,학교발전기금전입금,69250000.0
,,,다른학교회계전입금,78119360.0
,,,기타학교회계전입금,27000000.0
,,기타공공이전수입,기타공공이전수입,53675000.0
,,,기타공공지원금,26675000.0
자체수입,자체수입,자체수입,자체수입,1426098310.0
,학부모부담수입,학부모부담수입,학부모부담수입,1366132710.0
,,등록금,등록금,12445310.0
,,,학교운영지원비,357131038.0
,,수익자부담수입,수익자부담수입,1701959580.0
,,,급식비,504021410.0
,,,방과후학교활동비,264277170.0
,,,현장체험학습비,0.0
,,,청소년단체활동비,0.0
,,,졸업앨범비,461975640.0
,,,교과서비,246768780.0
,,,기숙사비,70900000.0
,,,기타수익자부담수입,27046200.0
,,,누리과정비,6642530.0
,,,교복구입비,16923400.0
,,,운동부운영비,376816760.0
,,,돌봄활동운영비,61179870.0
,행정활동수입,행정활동수입,행정활동수입,85893600.0
,,사용료및수수료,사용료및수수료,9017270.0
,,,사용료및수수료,9017270.0
,,자산수입,자산수입,21093180.0
,,,자산매각대,21093180.0
,,적립금처분수입,적립금처분수입,8661548.0
,,,적립금처분수입,581000.0
,,보증금회수,보증금회수,581000.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,42103150.0
,,,지난년도수입,0.0
,,,이자수입,17066770.0
,,,기타행정활동수입,25036380.0
기타수입,기타수입,기타수입,기타수입,1047117023.0
,전년도이월금,전년도이월금,전년도이월금,1055197571.0
,,순세계잉여금,순세계잉여금,133757843.0
,,,순세계잉여금,138336511.0
,,정산대상재원사용잔액,정산대상재원사용잔액,116931360.0
,,,정산대상재원사용잔액,163147894.0
,,이월금,이월금,849648114.0
,,,이월사업비,849648114.0
세입합계,세입합계,세입합계,세입합계,27817900427.0
