정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,138216410.0
,교직원보수,0.0
,기타 교직원 보수,94062860.0
,교직원 복지 및 역량강화,44153550.0
학생복지/교육격차 해소,학생복지/교육격차 해소,2217744100.0
,급식 관리,1631191930.0
,기숙사 관리,0.0
,보건관리,207429870.0
,교육격차 해소,116546270.0
,학생복지,262576030.0
기본적 교육활동,기본적 교육활동,1187481120.0
,교과 활동,948709630.0
,창의적 체험활동,224771490.0
,자유학기(년) 활동,14000000.0
선택적 교육활동,선택적 교육활동,1205573900.0
,방과후학교 운영,876954350.0
,직업교육,0.0
,국제교육,0.0
,독서활동,94992280.0
,교기육성,221861310.0
,기타 선택적 교육활동,11765960.0
교육활동 지원,교육활동 지원,1145737900.0
,교무업무 운영,246541380.0
,생활지도 운영,126564730.0
,연구학교 운영,46400000.0
,학습지원실 운영,64486130.0
,교육여건 개선,661745660.0
학교 일반운영,학교 일반운영,686963200.0
,학교기관운영,283678320.0
,시설 장비 유지,393884370.0
,학교운영 협력,9400510.0
학교시설 확충,학교시설 확충,38579770.0
,시설확충 및 개선,38579770.0
학교 재무활동,학교 재무활동,125170460.0
,반환금,125170460.0
,예비비,0.0
세출합계,세출합계,6745466860.0
