정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,25680980.0
,교직원보수,0.0
,기타 교직원 보수,13449300.0
,교직원 복지 및 역량강화,12231680.0
학생복지/교육격차 해소,학생복지/교육격차 해소,467760630.0
,급식 관리,318756870.0
,기숙사 관리,0.0
,보건관리,31840690.0
,교육격차 해소,28915600.0
,학생복지,88247470.0
기본적 교육활동,기본적 교육활동,182965660.0
,교과 활동,162066370.0
,창의적 체험활동,20899290.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,259787030.0
,방과후학교 운영,188579990.0
,직업교육,0.0
,국제교육,0.0
,독서활동,19631260.0
,교기육성,44575780.0
,기타 선택적 교육활동,7000000.0
교육활동 지원,교육활동 지원,159257660.0
,교무업무 운영,52742930.0
,생활지도 운영,40699890.0
,연구학교 운영,8000000.0
,학습지원실 운영,10208110.0
,교육여건 개선,47606730.0
학교 일반운영,학교 일반운영,211915890.0
,학교기관운영,121915530.0
,시설 장비 유지,89235660.0
,학교운영 협력,764700.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,742730.0
,반환금,742730.0
,예비비,0.0
세출합계,세출합계,1308110580.0
