과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,1101516375.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,0.0
,,비법정이전수입,비법정이전수입,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,,교육경비보조금,교육경비보조금,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,901641375.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,901641375.0
,,,교육비특별회계전입금,901641375.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,199875000.0
,,학교회계간이전수입,학교회계간이전수입,199875000.0
,,,학교발전기금전입금,66142250.0
,,,다른학교회계전입금,133732750.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,0.0
,,,기타공공지원금,0.0
자체수입,자체수입,자체수입,자체수입,94173625.0
,학부모부담수입,학부모부담수입,학부모부담수입,86483500.0
,,등록금,등록금,0.0
,,,학교운영지원비,1286894250.0
,,수익자부담수입,수익자부담수입,1328885750.0
,,,급식비,919114625.0
,,,방과후학교활동비,64625000.0
,,,현장체험학습비,724958625.0
,,,청소년단체활동비,162948750.0
,,,졸업앨범비,346089875.0
,,,교과서비,153453875.0
,,,기숙사비,9544125.0
,,,기타수익자부담수입,0.0
,,,누리과정비,0.0
,,,교복구입비,2214000.0
,,,운동부운영비,14385375.0
,,,돌봄활동운영비,172431250.0
,행정활동수입,행정활동수입,행정활동수입,9212625.0
,,사용료및수수료,사용료및수수료,5090125.0
,,,사용료및수수료,5090125.0
,,자산수입,자산수입,0.0
,,,자산매각대,0.0
,,적립금처분수입,적립금처분수입,44492000.0
,,,적립금처분수입,41623250.0
,,보증금회수,보증금회수,41623250.0
,,,보증금회수,37500.0
,,기타행정활동수입,기타행정활동수입,2637500.0
,,,지난년도수입,0.0
,,,이자수입,1175000.0
,,,기타행정활동수입,1425000.0
기타수입,기타수입,기타수입,기타수입,11250000.0
,전년도이월금,전년도이월금,전년도이월금,14081250.0
,,순세계잉여금,순세계잉여금,10000000.0
,,,순세계잉여금,12431250.0
,,정산대상재원사용잔액,정산대상재원사용잔액,1650000.0
,,,정산대상재원사용잔액,7500000.0
,,이월금,이월금,6250000.0
,,,이월사업비,6250000.0
세입합계,세입합계,세입합계,세입합계,549563250.0
