정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,17391180.0
,교직원보수,0.0
,기타 교직원 보수,11870647.5
,교직원 복지 및 역량강화,5520532.5
학생복지/교육격차 해소,학생복지/교육격차 해소,272315125.0
,급식 관리,164734545.0
,기숙사 관리,0.0
,보건관리,45664300.0
,교육격차 해소,275000.0
,학생복지,61641280.0
기본적 교육활동,기본적 교육활동,246110052.5
,교과 활동,175874300.0
,창의적 체험활동,67738730.0
,자유학기(년) 활동,2497022.5
선택적 교육활동,선택적 교육활동,257703032.5
,방과후학교 운영,117838572.5
,직업교육,0.0
,국제교육,0.0
,독서활동,25524447.5
,교기육성,66935077.5
,기타 선택적 교육활동,47404935.0
교육활동 지원,교육활동 지원,248094015.0
,교무업무 운영,8109910.0
,생활지도 운영,23604950.0
,연구학교 운영,21722502.5
,학습지원실 운영,11978380.0
,교육여건 개선,182678272.5
학교 일반운영,학교 일반운영,226257522.25
,학교기관운영,71124982.25
,시설 장비 유지,151832592.5
,학교운영 협력,3299947.5
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1267870927.25
