정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,17627500.0
,교직원보수,0.0
,기타 교직원 보수,12745000.0
,교직원 복지 및 역량강화,4882500.0
학생복지/교육격차 해소,학생복지/교육격차 해소,84746750.0
,급식 관리,58112000.0
,기숙사 관리,0.0
,보건관리,24694750.0
,교육격차 해소,0.0
,학생복지,1940000.0
기본적 교육활동,기본적 교육활동,95120250.0
,교과 활동,49710000.0
,창의적 체험활동,44160250.0
,자유학기(년) 활동,1250000.0
선택적 교육활동,선택적 교육활동,91096250.0
,방과후학교 운영,71386250.0
,직업교육,0.0
,국제교육,0.0
,독서활동,16085000.0
,교기육성,3375000.0
,기타 선택적 교육활동,250000.0
교육활동 지원,교육활동 지원,54154250.0
,교무업무 운영,12577500.0
,생활지도 운영,15110000.0
,연구학교 운영,8095000.0
,학습지원실 운영,14971750.0
,교육여건 개선,3400000.0
학교 일반운영,학교 일반운영,160308750.0
,학교기관운영,51693750.0
,시설 장비 유지,105861250.0
,학교운영 협력,2753750.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,503053750.0
