정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,9906690.0
,교직원보수,0.0
,기타 교직원 보수,0.0
,교직원 복지 및 역량강화,9906690.0
학생복지/교육격차 해소,학생복지/교육격차 해소,373980250.0
,급식 관리,341713020.0
,기숙사 관리,0.0
,보건관리,23911060.0
,교육격차 해소,0.0
,학생복지,8356170.0
기본적 교육활동,기본적 교육활동,318830040.0
,교과 활동,274602170.0
,창의적 체험활동,44227870.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,290297390.0
,방과후학교 운영,263739710.0
,직업교육,0.0
,국제교육,0.0
,독서활동,14955630.0
,교기육성,9602050.0
,기타 선택적 교육활동,2000000.0
교육활동 지원,교육활동 지원,128973040.0
,교무업무 운영,4526820.0
,생활지도 운영,65167360.0
,연구학교 운영,0.0
,학습지원실 운영,36375940.0
,교육여건 개선,22902920.0
학교 일반운영,학교 일반운영,194391796.0
,학교기관운영,46584410.0
,시설 장비 유지,142554690.0
,학교운영 협력,5252696.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1316379206.0
