정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,1311623500.0
,교직원보수,938923375.0
,기타 교직원 보수,298115750.0
,교직원 복지 및 역량강화,74584375.0
학생복지/교육격차 해소,학생복지/교육격차 해소,460329500.0
,급식 관리,204906625.0
,기숙사 관리,179550000.0
,보건관리,36836750.0
,교육격차 해소,4906125.0
,학생복지,34130000.0
기본적 교육활동,기본적 교육활동,127552750.0
,교과 활동,86974250.0
,창의적 체험활동,35751375.0
,자유학기(년) 활동,4827125.0
선택적 교육활동,선택적 교육활동,51547125.0
,방과후학교 운영,15394625.0
,직업교육,0.0
,국제교육,0.0
,독서활동,23390000.0
,교기육성,1250000.0
,기타 선택적 교육활동,11512500.0
교육활동 지원,교육활동 지원,136211000.0
,교무업무 운영,43777125.0
,생활지도 운영,20114000.0
,연구학교 운영,13375000.0
,학습지원실 운영,33910625.0
,교육여건 개선,25034250.0
학교 일반운영,학교 일반운영,420950750.0
,학교기관운영,80812875.0
,시설 장비 유지,337549125.0
,학교운영 협력,2588750.0
학교시설 확충,학교시설 확충,1250000.0
,시설확충 및 개선,1250000.0
학교 재무활동,학교 재무활동,625000.0
,반환금,625000.0
,예비비,0.0
세출합계,세출합계,2510089625.0
