정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,19861000.0
,교직원보수,0.0
,기타 교직원 보수,3111000.0
,교직원 복지 및 역량강화,16750000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,473117000.0
,급식 관리,424179000.0
,기숙사 관리,0.0
,보건관리,48338000.0
,교육격차 해소,500000.0
,학생복지,100000.0
기본적 교육활동,기본적 교육활동,135724000.0
,교과 활동,83884000.0
,창의적 체험활동,51840000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,432485000.0
,방과후학교 운영,394415000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,21250000.0
,교기육성,15220000.0
,기타 선택적 교육활동,1600000.0
교육활동 지원,교육활동 지원,67296000.0
,교무업무 운영,16460000.0
,생활지도 운영,22670000.0
,연구학교 운영,0.0
,학습지원실 운영,28166000.0
,교육여건 개선,0.0
학교 일반운영,학교 일반운영,217885000.0
,학교기관운영,62517000.0
,시설 장비 유지,152818000.0
,학교운영 협력,2550000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,2780000.0
,반환금,0.0
,예비비,2780000.0
세출합계,세출합계,1349148000.0
