과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,4965872680.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,32000000.0
,,국고보조금,국고보조금,32000000.0
,,,국고보조금,32000000.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,52350000.0
,,비법정이전수입,비법정이전수입,750000.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,750000.0
,,교육경비보조금,교육경비보조금,51600000.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,51600000.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,4828899180.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,4828899180.0
,,,교육비특별회계전입금,4828899180.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,52623500.0
,,학교회계간이전수입,학교회계간이전수입,48623500.0
,,,학교발전기금전입금,3180000.0
,,,다른학교회계전입금,45443500.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,4000000.0
,,,기타공공지원금,4000000.0
자체수입,자체수입,자체수입,자체수입,360200180.0
,학부모부담수입,학부모부담수입,학부모부담수입,325558920.0
,,등록금,등록금,0.0
,,,학교운영지원비,0.0
,,수익자부담수입,수익자부담수입,325558920.0
,,,급식비,172015730.0
,,,방과후학교활동비,75991850.0
,,,현장체험학습비,67801340.0
,,,청소년단체활동비,1740000.0
,,,졸업앨범비,8010000.0
,,,교과서비,0.0
,,,기숙사비,0.0
,,,기타수익자부담수입,0.0
,,,누리과정비,0.0
,,,교복구입비,0.0
,,,운동부운영비,0.0
,,,돌봄활동운영비,0.0
,행정활동수입,행정활동수입,행정활동수입,34641260.0
,,사용료및수수료,사용료및수수료,5807820.0
,,,사용료및수수료,5807820.0
,,자산수입,자산수입,14000.0
,,,자산매각대,14000.0
,,적립금처분수입,적립금처분수입,0.0
,,,적립금처분수입,0.0
,,보증금회수,보증금회수,0.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,28819440.0
,,,지난년도수입,0.0
,,,이자수입,23309720.0
,,,기타행정활동수입,5509720.0
기타수입,기타수입,기타수입,기타수입,223699530.0
,전년도이월금,전년도이월금,전년도이월금,223699530.0
,,순세계잉여금,순세계잉여금,32342120.0
,,,순세계잉여금,32342120.0
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0
,,,정산대상재원사용잔액,0.0
,,이월금,이월금,191357410.0
,,,이월사업비,191357410.0
세입합계,세입합계,세입합계,세입합계,5549772390.0
