정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,34904000.0
,교직원보수,0.0
,기타 교직원 보수,200000.0
,교직원 복지 및 역량강화,34704000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,1140290000.0
,급식 관리,862403000.0
,기숙사 관리,0.0
,보건관리,99669000.0
,교육격차 해소,0.0
,학생복지,178218000.0
기본적 교육활동,기본적 교육활동,523244000.0
,교과 활동,219546000.0
,창의적 체험활동,291948000.0
,자유학기(년) 활동,11750000.0
선택적 교육활동,선택적 교육활동,625374000.0
,방과후학교 운영,363960000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,49523000.0
,교기육성,203491000.0
,기타 선택적 교육활동,8400000.0
교육활동 지원,교육활동 지원,270870000.0
,교무업무 운영,29282000.0
,생활지도 운영,74750000.0
,연구학교 운영,31500000.0
,학습지원실 운영,40698000.0
,교육여건 개선,94640000.0
학교 일반운영,학교 일반운영,699658000.0
,학교기관운영,225443000.0
,시설 장비 유지,454835000.0
,학교운영 협력,19380000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,6700000.0
,반환금,0.0
,예비비,6700000.0
세출합계,세출합계,3301040000.0
