정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,19395692.5
,교직원보수,0.0
,기타 교직원 보수,14183450.0
,교직원 복지 및 역량강화,5212242.5
학생복지/교육격차 해소,학생복지/교육격차 해소,377657700.0
,급식 관리,258635245.0
,기숙사 관리,0.0
,보건관리,29813595.0
,교육격차 해소,12512500.0
,학생복지,76696360.0
기본적 교육활동,기본적 교육활동,167673015.0
,교과 활동,145754792.5
,창의적 체험활동,17918662.5
,자유학기(년) 활동,3999560.0
선택적 교육활동,선택적 교육활동,170661407.5
,방과후학교 운영,123677597.5
,직업교육,0.0
,국제교육,0.0
,독서활동,22208292.5
,교기육성,22983812.5
,기타 선택적 교육활동,1791705.0
교육활동 지원,교육활동 지원,373758822.5
,교무업무 운영,61919550.0
,생활지도 운영,16528747.5
,연구학교 운영,27930840.0
,학습지원실 운영,12182122.5
,교육여건 개선,255197562.5
학교 일반운영,학교 일반운영,167078645.0
,학교기관운영,43342992.5
,시설 장비 유지,121520992.5
,학교운영 협력,2214660.0
학교시설 확충,학교시설 확충,47855030.0
,시설확충 및 개선,47855030.0
학교 재무활동,학교 재무활동,17210590.0
,반환금,17210590.0
,예비비,0.0
세출합계,세출합계,1341290902.5
