정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,46335000.0
,교직원보수,0.0
,기타 교직원 보수,38273333.333333336
,교직원 복지 및 역량강화,8061666.666666667
학생복지/교육격차 해소,학생복지/교육격차 해소,1034960333.3333334
,급식 관리,870979666.6666666
,기숙사 관리,0.0
,보건관리,85295000.0
,교육격차 해소,0.0
,학생복지,78685666.66666667
기본적 교육활동,기본적 교육활동,248729000.0
,교과 활동,111172000.0
,창의적 체험활동,128223666.66666667
,자유학기(년) 활동,9333333.333333334
선택적 교육활동,선택적 교육활동,417965000.0
,방과후학교 운영,252753666.66666666
,직업교육,0.0
,국제교육,666666.6666666666
,독서활동,32422666.666666668
,교기육성,93414000.0
,기타 선택적 교육활동,38708000.0
교육활동 지원,교육활동 지원,139318333.33333334
,교무업무 운영,66191666.666666664
,생활지도 운영,25980666.666666668
,연구학교 운영,0.0
,학습지원실 운영,40466000.0
,교육여건 개선,6680000.0
학교 일반운영,학교 일반운영,248993666.66666666
,학교기관운영,107393666.66666667
,시설 장비 유지,133340000.0
,학교운영 협력,8260000.0
학교시설 확충,학교시설 확충,2000000.0
,시설확충 및 개선,2000000.0
학교 재무활동,학교 재무활동,4031333.3333333335
,반환금,0.0
,예비비,4031333.3333333335
세출합계,세출합계,2142332666.6666667
