과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,1620988334.4375
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,1797656.25
,,국고보조금,국고보조금,1797656.25
,,,국고보조금,1797656.25
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,105217870.46875
,,비법정이전수입,비법정이전수입,54301584.140625
,,,광역지방자치단체전입금,4475120.0
,,,기초지방자치단체전입금,49826464.140625
,,교육경비보조금,교육경비보조금,50916286.328125
,,,광역지방자치단체전입금,265366.09375
,,,기초지방자치단체전입금,50650920.234375
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,1477980910.484375
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1477838410.484375
,,,교육비특별회계전입금,1477838410.484375
,,기금회계전입금수입,기금회계전입금수입,142500.0
,,,기금회계전입금,142500.0
,기타이전수입,기타이전수입,기타이전수입,35991897.234375
,,학교회계간이전수입,학교회계간이전수입,30322414.421875
,,,학교발전기금전입금,9277954.890625
,,,다른학교회계전입금,21044459.53125
,,,기타학교회계전입금,1439779.6875
,,기타공공이전수입,기타공공이전수입,5334826.5625
,,,기타공공지원금,4062859.375
자체수입,자체수입,자체수입,자체수입,91747897.546875
,학부모부담수입,학부모부담수입,학부모부담수입,87166120.625
,,등록금,등록금,253832.96875
,,,학교운영지원비,135648022.015625
,,수익자부담수입,수익자부담수입,218237390.109375
,,,급식비,129816737.5
,,,방과후학교활동비,35780727.8125
,,,현장체험학습비,77949758.59375
,,,청소년단체활동비,19532581.25
,,,졸업앨범비,38077567.140625
,,,교과서비,13943439.21875
,,,기숙사비,3061732.296875
,,,기타수익자부담수입,1294511.40625
,,,누리과정비,145374.84375
,,,교복구입비,1650400.3125
,,,운동부운영비,10314528.28125
,,,돌봄활동운영비,17457570.78125
,행정활동수입,행정활동수입,행정활동수입,5370090.046875
,,사용료및수수료,사용료및수수료,1253684.0625
,,,사용료및수수료,1253684.0625
,,자산수입,자산수입,570132.96875
,,,자산매각대,570132.96875
,,적립금처분수입,적립금처분수입,4319836.59375
,,,적립금처분수입,3648294.53125
,,보증금회수,보증금회수,3673867.34375
,,,보증금회수,81338.4375
,,기타행정활동수입,기타행정활동수입,3038902.703125
,,,지난년도수입,0.0
,,,이자수입,1163425.46875
,,,기타행정활동수입,1819711.609375
기타수입,기타수입,기타수입,기타수입,45505338.203125
,전년도이월금,전년도이월금,전년도이월금,46121114.640625
,,순세계잉여금,순세계잉여금,16602543.65625
,,,순세계잉여금,17007737.796875
,,정산대상재원사용잔액,정산대상재원사용잔액,2603285.421875
,,,정산대상재원사용잔액,5863262.125
,,이월금,이월금,29980650.421875
,,,이월사업비,28790017.140625
세입합계,세입합계,세입합계,세입합계,1497662834.828125
