정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,62243602.0
,교직원보수,0.0
,기타 교직원 보수,48210636.0
,교직원 복지 및 역량강화,14032966.0
학생복지/교육격차 해소,학생복지/교육격차 해소,606193000.0
,급식 관리,468571434.0
,기숙사 관리,35738440.0
,보건관리,42726658.0
,교육격차 해소,8189160.0
,학생복지,50967308.0
기본적 교육활동,기본적 교육활동,269296802.0
,교과 활동,195331120.0
,창의적 체험활동,70295758.0
,자유학기(년) 활동,3669924.0
선택적 교육활동,선택적 교육활동,284773154.0
,방과후학교 운영,173144640.0
,직업교육,0.0
,국제교육,0.0
,독서활동,25103536.0
,교기육성,82064152.0
,기타 선택적 교육활동,4460826.0
교육활동 지원,교육활동 지원,162427406.0
,교무업무 운영,55921798.0
,생활지도 운영,27405236.0
,연구학교 운영,6197746.0
,학습지원실 운영,8822784.0
,교육여건 개선,64079842.0
학교 일반운영,학교 일반운영,248048682.0
,학교기관운영,90468228.0
,시설 장비 유지,155406606.0
,학교운영 협력,2173848.0
학교시설 확충,학교시설 확충,115953886.0
,시설확충 및 개선,115953886.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1748936532.0
