정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,31508770.0
,교직원보수,0.0
,기타 교직원 보수,23789730.0
,교직원 복지 및 역량강화,7719040.0
학생복지/교육격차 해소,학생복지/교육격차 해소,385045390.0
,급식 관리,344161510.0
,기숙사 관리,0.0
,보건관리,33543880.0
,교육격차 해소,0.0
,학생복지,7340000.0
기본적 교육활동,기본적 교육활동,229400592.0
,교과 활동,197221452.0
,창의적 체험활동,32179140.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,280817850.0
,방과후학교 운영,246851430.0
,직업교육,0.0
,국제교육,0.0
,독서활동,12447640.0
,교기육성,21518780.0
,기타 선택적 교육활동,0.0
교육활동 지원,교육활동 지원,419216110.0
,교무업무 운영,4660000.0
,생활지도 운영,100055870.0
,연구학교 운영,9000000.0
,학습지원실 운영,27654660.0
,교육여건 개선,277845580.0
학교 일반운영,학교 일반운영,279392613.0
,학교기관운영,77083263.0
,시설 장비 유지,200820050.0
,학교운영 협력,1489300.0
학교시설 확충,학교시설 확충,20000000.0
,시설확충 및 개선,20000000.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1645381325.0
