과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,391780707.5
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,2098500.0
,,비법정이전수입,비법정이전수입,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,,교육경비보조금,교육경비보조금,2098500.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,2098500.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,383243217.5
,,교육비특별회계전입금수입,교육비특별회계전입금수입,383243217.5
,,,교육비특별회계전입금,383243217.5
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,6438990.0
,,학교회계간이전수입,학교회계간이전수입,2247865.0
,,,학교발전기금전입금,2125000.0
,,,다른학교회계전입금,122865.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,4191125.0
,,,기타공공지원금,4191125.0
자체수입,자체수입,자체수입,자체수입,12531970.0
,학부모부담수입,학부모부담수입,학부모부담수입,11889535.0
,,등록금,등록금,0.0
,,,학교운영지원비,0.0
,,수익자부담수입,수익자부담수입,11889535.0
,,,급식비,11889535.0
,,,방과후학교활동비,0.0
,,,현장체험학습비,0.0
,,,청소년단체활동비,0.0
,,,졸업앨범비,0.0
,,,교과서비,0.0
,,,기숙사비,0.0
,,,기타수익자부담수입,0.0
,,,누리과정비,0.0
,,,교복구입비,0.0
,,,운동부운영비,0.0
,,,돌봄활동운영비,0.0
,행정활동수입,행정활동수입,행정활동수입,642435.0
,,사용료및수수료,사용료및수수료,75967.5
,,,사용료및수수료,75967.5
,,자산수입,자산수입,45012.5
,,,자산매각대,45012.5
,,적립금처분수입,적립금처분수입,0.0
,,,적립금처분수입,0.0
,,보증금회수,보증금회수,0.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,521455.0
,,,지난년도수입,0.0
,,,이자수입,423472.5
,,,기타행정활동수입,97982.5
기타수입,기타수입,기타수입,기타수입,3030882.5
,전년도이월금,전년도이월금,전년도이월금,3030882.5
,,순세계잉여금,순세계잉여금,2498882.5
,,,순세계잉여금,2498882.5
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0
,,,정산대상재원사용잔액,0.0
,,이월금,이월금,532000.0
,,,이월사업비,532000.0
세입합계,세입합계,세입합계,세입합계,407343560.0
