정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,5556112.5
,교직원보수,0.0
,기타 교직원 보수,1022695.0
,교직원 복지 및 역량강화,4533417.5
학생복지/교육격차 해소,학생복지/교육격차 해소,92981887.5
,급식 관리,24994035.0
,기숙사 관리,0.0
,보건관리,15828202.5
,교육격차 해소,23148465.0
,학생복지,29011185.0
기본적 교육활동,기본적 교육활동,85447592.5
,교과 활동,55848600.0
,창의적 체험활동,28683992.5
,자유학기(년) 활동,915000.0
선택적 교육활동,선택적 교육활동,46506607.5
,방과후학교 운영,39279972.5
,직업교육,0.0
,국제교육,0.0
,독서활동,5851735.0
,교기육성,0.0
,기타 선택적 교육활동,1374900.0
교육활동 지원,교육활동 지원,48013350.0
,교무업무 운영,5788937.5
,생활지도 운영,1795132.5
,연구학교 운영,4082125.0
,학습지원실 운영,6990590.0
,교육여건 개선,29356565.0
학교 일반운영,학교 일반운영,116689340.0
,학교기관운영,35171737.5
,시설 장비 유지,79333945.0
,학교운영 협력,2183657.5
학교시설 확충,학교시설 확충,8521250.0
,시설확충 및 개선,8521250.0
학교 재무활동,학교 재무활동,661000.0
,반환금,636000.0
,예비비,25000.0
세출합계,세출합계,404377140.0
