정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,9527423.333333334
,교직원보수,0.0
,기타 교직원 보수,6810880.0
,교직원 복지 및 역량강화,2716543.3333333335
학생복지/교육격차 해소,학생복지/교육격차 해소,155886003.33333334
,급식 관리,127357403.33333333
,기숙사 관리,0.0
,보건관리,9777960.0
,교육격차 해소,1514666.6666666667
,학생복지,17235973.333333332
기본적 교육활동,기본적 교육활동,156511916.66666666
,교과 활동,129725803.33333333
,창의적 체험활동,25319446.666666668
,자유학기(년) 활동,1466666.6666666667
선택적 교육활동,선택적 교육활동,76556183.33333333
,방과후학교 운영,41076920.0
,직업교육,0.0
,국제교육,0.0
,독서활동,12729753.333333334
,교기육성,752120.0
,기타 선택적 교육활동,21997390.0
교육활동 지원,교육활동 지원,63245180.0
,교무업무 운영,7007160.0
,생활지도 운영,9172050.0
,연구학교 운영,0.0
,학습지원실 운영,2695713.3333333335
,교육여건 개선,44370256.666666664
학교 일반운영,학교 일반운영,214648283.33333334
,학교기관운영,79833846.66666667
,시설 장비 유지,131549986.66666667
,학교운영 협력,3264450.0
학교시설 확충,학교시설 확충,24510190.0
,시설확충 및 개선,24510190.0
학교 재무활동,학교 재무활동,22340053.333333332
,반환금,22340053.333333332
,예비비,0.0
세출합계,세출합계,723225233.3333334
