정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,67006090.0
,교직원보수,0.0
,기타 교직원 보수,43126020.0
,교직원 복지 및 역량강화,23880070.0
학생복지/교육격차 해소,학생복지/교육격차 해소,553809833.3333334
,급식 관리,453336330.0
,기숙사 관리,0.0
,보건관리,61293633.333333336
,교육격차 해소,16779663.333333332
,학생복지,22400206.666666668
기본적 교육활동,기본적 교육활동,454911896.6666667
,교과 활동,297422563.3333333
,창의적 체험활동,153156000.0
,자유학기(년) 활동,4333333.333333333
선택적 교육활동,선택적 교육활동,325484263.3333333
,방과후학교 운영,206126703.33333334
,직업교육,0.0
,국제교육,0.0
,독서활동,20375260.0
,교기육성,94207450.0
,기타 선택적 교육활동,4774850.0
교육활동 지원,교육활동 지원,198599766.66666666
,교무업무 운영,16964623.333333332
,생활지도 운영,31261443.333333332
,연구학교 운영,0.0
,학습지원실 운영,18641350.0
,교육여건 개선,131732350.0
학교 일반운영,학교 일반운영,257852406.66666666
,학교기관운영,87580806.66666667
,시설 장비 유지,165123706.66666666
,학교운영 협력,5147893.333333333
학교시설 확충,학교시설 확충,1333333.3333333333
,시설확충 및 개선,1333333.3333333333
학교 재무활동,학교 재무활동,17113690.0
,반환금,17113690.0
,예비비,0.0
세출합계,세출합계,1876111280.0
