정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,19968545.0
,교직원보수,0.0
,기타 교직원 보수,12172385.0
,교직원 복지 및 역량강화,7796160.0
학생복지/교육격차 해소,학생복지/교육격차 해소,323333970.0
,급식 관리,228672350.0
,기숙사 관리,0.0
,보건관리,33565492.5
,교육격차 해소,1375000.0
,학생복지,59721127.5
기본적 교육활동,기본적 교육활동,303758642.5
,교과 활동,224872485.0
,창의적 체험활동,74761657.5
,자유학기(년) 활동,4124500.0
선택적 교육활동,선택적 교육활동,291415715.0
,방과후학교 운영,148640550.0
,직업교육,0.0
,국제교육,0.0
,독서활동,13597620.0
,교기육성,77897960.0
,기타 선택적 교육활동,51279585.0
교육활동 지원,교육활동 지원,224296635.0
,교무업무 운영,6990615.0
,생활지도 운영,21523330.0
,연구학교 운영,18782810.0
,학습지원실 운영,32584107.5
,교육여건 개선,144415772.5
학교 일반운영,학교 일반운영,215510822.5
,학교기관운영,68380710.0
,시설 장비 유지,142593807.5
,학교운영 협력,4536305.0
학교시설 확충,학교시설 확충,3208700.0
,시설확충 및 개선,3208700.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1381493030.0
