정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,239410840.0
,교직원보수,0.0
,기타 교직원 보수,177505210.0
,교직원 복지 및 역량강화,61905630.0
학생복지/교육격차 해소,학생복지/교육격차 해소,3039487260.0
,급식 관리,2257811100.0
,기숙사 관리,191713300.0
,보건관리,239136360.0
,교육격차 해소,83741280.0
,학생복지,267085220.0
기본적 교육활동,기본적 교육활동,1019872510.0
,교과 활동,778149830.0
,창의적 체험활동,222145900.0
,자유학기(년) 활동,19576780.0
선택적 교육활동,선택적 교육활동,1242823600.0
,방과후학교 운영,771924430.0
,직업교육,0.0
,국제교육,0.0
,독서활동,121103850.0
,교기육성,322884290.0
,기타 선택적 교육활동,26911030.0
교육활동 지원,교육활동 지원,767208320.0
,교무업무 운영,265916150.0
,생활지도 운영,143890530.0
,연구학교 운영,61848980.0
,학습지원실 운영,58981380.0
,교육여건 개선,236571280.0
학교 일반운영,학교 일반운영,1214332310.0
,학교기관운영,413248910.0
,시설 장비 유지,793797910.0
,학교운영 협력,7285490.0
학교시설 확충,학교시설 확충,189417400.0
,시설확충 및 개선,189417400.0
학교 재무활동,학교 재무활동,6563020.0
,반환금,6563020.0
,예비비,0.0
세출합계,세출합계,7719115260.0
