정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,149635000.0
,교직원보수,0.0
,기타 교직원 보수,106840000.0
,교직원 복지 및 역량강화,42795000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,1582626000.0
,급식 관리,1464258000.0
,기숙사 관리,0.0
,보건관리,115568000.0
,교육격차 해소,550000.0
,학생복지,2250000.0
기본적 교육활동,기본적 교육활동,615213000.0
,교과 활동,488152000.0
,창의적 체험활동,127061000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,1121427000.0
,방과후학교 운영,903211000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,43452000.0
,교기육성,172294000.0
,기타 선택적 교육활동,2470000.0
교육활동 지원,교육활동 지원,356005000.0
,교무업무 운영,157803000.0
,생활지도 운영,61040000.0
,연구학교 운영,7000000.0
,학습지원실 운영,58345000.0
,교육여건 개선,71817000.0
학교 일반운영,학교 일반운영,577548000.0
,학교기관운영,227077000.0
,시설 장비 유지,335101000.0
,학교운영 협력,15370000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,16800000.0
,반환금,0.0
,예비비,16800000.0
세출합계,세출합계,4419254000.0
