정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,6257540.0
,교직원보수,0.0
,기타 교직원 보수,0.0
,교직원 복지 및 역량강화,6257540.0
학생복지/교육격차 해소,학생복지/교육격차 해소,356356310.0
,급식 관리,267979190.0
,기숙사 관리,0.0
,보건관리,82484850.0
,교육격차 해소,0.0
,학생복지,5892270.0
기본적 교육활동,기본적 교육활동,216433990.0
,교과 활동,177978070.0
,창의적 체험활동,38455920.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,267041460.0
,방과후학교 운영,236993900.0
,직업교육,0.0
,국제교육,0.0
,독서활동,30047560.0
,교기육성,0.0
,기타 선택적 교육활동,0.0
교육활동 지원,교육활동 지원,128616160.0
,교무업무 운영,69237080.0
,생활지도 운영,41974560.0
,연구학교 운영,0.0
,학습지원실 운영,15595780.0
,교육여건 개선,1808740.0
학교 일반운영,학교 일반운영,305320970.0
,학교기관운영,58293940.0
,시설 장비 유지,244604030.0
,학교운영 협력,2423000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1280026430.0
