정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,15527610.0
,교직원보수,0.0
,기타 교직원 보수,4312800.0
,교직원 복지 및 역량강화,11214810.0
학생복지/교육격차 해소,학생복지/교육격차 해소,570838960.0
,급식 관리,457324240.0
,기숙사 관리,0.0
,보건관리,75791520.0
,교육격차 해소,21492200.0
,학생복지,16231000.0
기본적 교육활동,기본적 교육활동,301233420.0
,교과 활동,237157460.0
,창의적 체험활동,64075960.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,352300930.0
,방과후학교 운영,285815650.0
,직업교육,0.0
,국제교육,0.0
,독서활동,22835670.0
,교기육성,26349610.0
,기타 선택적 교육활동,17300000.0
교육활동 지원,교육활동 지원,164473490.0
,교무업무 운영,11757770.0
,생활지도 운영,25118040.0
,연구학교 운영,10500000.0
,학습지원실 운영,27829580.0
,교육여건 개선,89268100.0
학교 일반운영,학교 일반운영,238463170.0
,학교기관운영,81245150.0
,시설 장비 유지,155329020.0
,학교운영 협력,1889000.0
학교시설 확충,학교시설 확충,35161400.0
,시설확충 및 개선,35161400.0
학교 재무활동,학교 재무활동,16049000.0
,반환금,16049000.0
,예비비,0.0
세출합계,세출합계,1694047980.0
