과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,4993058930.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,5000000.0
,,국고보조금,국고보조금,5000000.0
,,,국고보조금,5000000.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,20953950.0
,,비법정이전수입,비법정이전수입,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,,교육경비보조금,교육경비보조금,20953950.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,20953950.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,4959036180.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,4959036180.0
,,,교육비특별회계전입금,4959036180.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,8068800.0
,,학교회계간이전수입,학교회계간이전수입,3700000.0
,,,학교발전기금전입금,3700000.0
,,,다른학교회계전입금,0.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,4368800.0
,,,기타공공지원금,4368800.0
자체수입,자체수입,자체수입,자체수입,633974240.0
,학부모부담수입,학부모부담수입,학부모부담수입,573446090.0
,,등록금,등록금,0.0
,,,학교운영지원비,0.0
,,수익자부담수입,수익자부담수입,573446090.0
,,,급식비,128894550.0
,,,방과후학교활동비,366455010.0
,,,현장체험학습비,22100550.0
,,,청소년단체활동비,0.0
,,,졸업앨범비,21056480.0
,,,교과서비,0.0
,,,기숙사비,0.0
,,,기타수익자부담수입,8347500.0
,,,누리과정비,0.0
,,,교복구입비,0.0
,,,운동부운영비,0.0
,,,돌봄활동운영비,26592000.0
,행정활동수입,행정활동수입,행정활동수입,60528150.0
,,사용료및수수료,사용료및수수료,11556750.0
,,,사용료및수수료,11556750.0
,,자산수입,자산수입,20509000.0
,,,자산매각대,20509000.0
,,적립금처분수입,적립금처분수입,0.0
,,,적립금처분수입,0.0
,,보증금회수,보증금회수,0.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,28462400.0
,,,지난년도수입,0.0
,,,이자수입,12835100.0
,,,기타행정활동수입,15627300.0
기타수입,기타수입,기타수입,기타수입,35756300.0
,전년도이월금,전년도이월금,전년도이월금,35756300.0
,,순세계잉여금,순세계잉여금,35756300.0
,,,순세계잉여금,35756300.0
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0
,,,정산대상재원사용잔액,0.0
,,이월금,이월금,0.0
,,,이월사업비,0.0
세입합계,세입합계,세입합계,세입합계,5662789470.0
