정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,13506400
,교직원보수,0
,기타 교직원 보수,9940800
,교직원 복지 및 역량강화,3565600
학생복지/교육격차 해소,학생복지/교육격차 해소,303212390
,급식 관리,274528100
,기숙사 관리,0
,보건관리,19944140
,교육격차 해소,1525000
,학생복지,7215150
기본적 교육활동,기본적 교육활동,334602740
,교과 활동,296094390
,창의적 체험활동,38508350
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,203489590
,방과후학교 운영,184929970
,직업교육,0
,국제교육,0
,독서활동,16179620
,교기육성,850000
,기타 선택적 교육활동,1530000
교육활동 지원,교육활동 지원,100703220
,교무업무 운영,8929210
,생활지도 운영,27406280
,연구학교 운영,0
,학습지원실 운영,3990600
,교육여건 개선,60377130
학교 일반운영,학교 일반운영,194908490
,학교기관운영,67280580
,시설 장비 유지,124207220
,학교운영 협력,3420690
학교시설 확충,학교시설 확충,65136000
,시설확충 및 개선,65136000
학교 재무활동,학교 재무활동,52717070
,반환금,52717070
,예비비,0
세출합계,세출합계,1268275900
