정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,143166190
,교직원보수,0
,기타 교직원 보수,43268990
,교직원 복지 및 역량강화,99897200
학생복지/교육격차 해소,학생복지/교육격차 해소,1092718970
,급식 관리,740877660
,기숙사 관리,0
,보건관리,174310540
,교육격차 해소,773000
,학생복지,176757770
기본적 교육활동,기본적 교육활동,233935080
,교과 활동,189293630
,창의적 체험활동,44641450
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,58130060
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,42030060
,교기육성,0
,기타 선택적 교육활동,16100000
교육활동 지원,교육활동 지원,225315770
,교무업무 운영,79907400
,생활지도 운영,30772650
,연구학교 운영,0
,학습지원실 운영,43178420
,교육여건 개선,71457300
학교 일반운영,학교 일반운영,240946940
,학교기관운영,117679290
,시설 장비 유지,122256740
,학교운영 협력,1010910
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,1994213010
