정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,5563198990
,교직원보수,4895660130
,기타 교직원 보수,666026620
,교직원 복지 및 역량강화,1512240
학생복지/교육격차 해소,학생복지/교육격차 해소,1297754480
,급식 관리,992660810
,기숙사 관리,0
,보건관리,138409080
,교육격차 해소,0
,학생복지,166684590
기본적 교육활동,기본적 교육활동,261232260
,교과 활동,230299140
,창의적 체험활동,30933120
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,214241110
,방과후학교 운영,72400000
,직업교육,0
,국제교육,0
,독서활동,10800410
,교기육성,114120700
,기타 선택적 교육활동,16920000
교육활동 지원,교육활동 지원,260699950
,교무업무 운영,73002450
,생활지도 운영,8902390
,연구학교 운영,0
,학습지원실 운영,49317100
,교육여건 개선,129478010
학교 일반운영,학교 일반운영,460864700
,학교기관운영,104024350
,시설 장비 유지,356840350
,학교운영 협력,0
학교시설 확충,학교시설 확충,464608000
,시설확충 및 개선,464608000
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,8522599490
