정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,53545000
,교직원보수,0
,기타 교직원 보수,41580000
,교직원 복지 및 역량강화,11965000
학생복지/교육격차 해소,학생복지/교육격차 해소,822370000
,급식 관리,761455000
,기숙사 관리,0
,보건관리,39232000
,교육격차 해소,0
,학생복지,21683000
기본적 교육활동,기본적 교육활동,146433000
,교과 활동,62690000
,창의적 체험활동,83743000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,31210000
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,31010000
,교기육성,0
,기타 선택적 교육활동,200000
교육활동 지원,교육활동 지원,36391000
,교무업무 운영,11215000
,생활지도 운영,6890000
,연구학교 운영,0
,학습지원실 운영,18286000
,교육여건 개선,0
학교 일반운영,학교 일반운영,312081000
,학교기관운영,57357000
,시설 장비 유지,251184000
,학교운영 협력,3540000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,6320000
,반환금,6320000
,예비비,0
세출합계,세출합계,1408350000
