과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,1113222150
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0
,,국고보조금,국고보조금,0
,,,국고보조금,0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,179689890
,,비법정이전수입,비법정이전수입,102346420
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,102346420
,,교육경비보조금,교육경비보조금,77343470
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,77343470
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,931406260
,,교육비특별회계전입금수입,교육비특별회계전입금수입,931406260
,,,교육비특별회계전입금,931406260
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,2126000
,,학교회계간이전수입,학교회계간이전수입,0
,,,학교발전기금전입금,0
,,,다른학교회계전입금,0
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,2126000
,,,기타공공지원금,2126000
자체수입,자체수입,자체수입,자체수입,43383930
,학부모부담수입,학부모부담수입,학부모부담수입,36675920
,,등록금,등록금,0
,,,학교운영지원비,0
,,수익자부담수입,수익자부담수입,36675920
,,,급식비,21415020
,,,방과후학교활동비,0
,,,현장체험학습비,11780900
,,,청소년단체활동비,0
,,,졸업앨범비,3480000
,,,교과서비,0
,,,기숙사비,0
,,,기타수익자부담수입,0
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,0
,행정활동수입,행정활동수입,행정활동수입,6708010
,,사용료및수수료,사용료및수수료,0
,,,사용료및수수료,0
,,자산수입,자산수입,638000
,,,자산매각대,638000
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,6070010
,,,지난년도수입,0
,,,이자수입,5258730
,,,기타행정활동수입,811280
기타수입,기타수입,기타수입,기타수입,355228690
,전년도이월금,전년도이월금,전년도이월금,355228690
,,순세계잉여금,순세계잉여금,4793690
,,,순세계잉여금,4793690
,,정산대상재원사용잔액,정산대상재원사용잔액,0
,,,정산대상재원사용잔액,0
,,이월금,이월금,350435000
,,,이월사업비,350435000
세입합계,세입합계,세입합계,세입합계,1511834770
