정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,61834080
,교직원보수,0
,기타 교직원 보수,14322000
,교직원 복지 및 역량강화,47512080
학생복지/교육격차 해소,학생복지/교육격차 해소,417469830
,급식 관리,332492450
,기숙사 관리,0
,보건관리,54364130
,교육격차 해소,1000000
,학생복지,29613250
기본적 교육활동,기본적 교육활동,174321100
,교과 활동,94670860
,창의적 체험활동,68400240
,자유학기(년) 활동,11250000
선택적 교육활동,선택적 교육활동,22172620
,방과후학교 운영,5000000
,직업교육,0
,국제교육,0
,독서활동,12172620
,교기육성,0
,기타 선택적 교육활동,5000000
교육활동 지원,교육활동 지원,480754360
,교무업무 운영,8680830
,생활지도 운영,18055000
,연구학교 운영,0
,학습지원실 운영,19151740
,교육여건 개선,434866790
학교 일반운영,학교 일반운영,217264260
,학교기관운영,48158900
,시설 장비 유지,166705360
,학교운영 협력,2400000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,13255040
,반환금,13255040
,예비비,0
세출합계,세출합계,1387071290
