정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,86607010
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,86607010
학생복지/교육격차 해소,학생복지/교육격차 해소,780277420
,급식 관리,678165400
,기숙사 관리,0
,보건관리,34884290
,교육격차 해소,1768030
,학생복지,65459700
기본적 교육활동,기본적 교육활동,346645240
,교과 활동,185438240
,창의적 체험활동,146507000
,자유학기(년) 활동,14700000
선택적 교육활동,선택적 교육활동,19367060
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,19367060
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,196627550
,교무업무 운영,15385360
,생활지도 운영,15880950
,연구학교 운영,35300000
,학습지원실 운영,40930770
,교육여건 개선,89130470
학교 일반운영,학교 일반운영,297806820
,학교기관운영,74002210
,시설 장비 유지,219128790
,학교운영 협력,4675820
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,1727331100
