정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,25678090
,교직원보수,0
,기타 교직원 보수,24834460
,교직원 복지 및 역량강화,843630
학생복지/교육격차 해소,학생복지/교육격차 해소,453912930
,급식 관리,370517700
,기숙사 관리,0
,보건관리,51645230
,교육격차 해소,0
,학생복지,31750000
기본적 교육활동,기본적 교육활동,349549020
,교과 활동,330977860
,창의적 체험활동,18571160
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,189195890
,방과후학교 운영,175870290
,직업교육,0
,국제교육,0
,독서활동,13325600
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,29807540
,교무업무 운영,18691440
,생활지도 운영,10118600
,연구학교 운영,0
,학습지원실 운영,997500
,교육여건 개선,0
학교 일반운영,학교 일반운영,295063590
,학교기관운영,125026930
,시설 장비 유지,169173170
,학교운영 협력,863490
학교시설 확충,학교시설 확충,120000000
,시설확충 및 개선,120000000
학교 재무활동,학교 재무활동,760
,반환금,760
,예비비,0
세출합계,세출합계,1463207820
