정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,12920080
,교직원보수,0
,기타 교직원 보수,9120000
,교직원 복지 및 역량강화,3800080
학생복지/교육격차 해소,학생복지/교육격차 해소,168680650
,급식 관리,73565170
,기숙사 관리,0
,보건관리,13462480
,교육격차 해소,0
,학생복지,81653000
기본적 교육활동,기본적 교육활동,151779460
,교과 활동,130283810
,창의적 체험활동,21495650
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,104573520
,방과후학교 운영,99419570
,직업교육,0
,국제교육,0
,독서활동,5153950
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,77477260
,교무업무 운영,2061800
,생활지도 운영,6000000
,연구학교 운영,0
,학습지원실 운영,14055460
,교육여건 개선,55360000
학교 일반운영,학교 일반운영,178867460
,학교기관운영,52831340
,시설 장비 유지,125413720
,학교운영 협력,622400
학교시설 확충,학교시설 확충,87038000
,시설확충 및 개선,87038000
학교 재무활동,학교 재무활동,1370390
,반환금,1370390
,예비비,0
세출합계,세출합계,782706820
