정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,3870000
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,3870000
학생복지/교육격차 해소,학생복지/교육격차 해소,34338000
,급식 관리,18928000
,기숙사 관리,0
,보건관리,7696000
,교육격차 해소,0
,학생복지,7714000
기본적 교육활동,기본적 교육활동,70628000
,교과 활동,36990000
,창의적 체험활동,33638000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,60600000
,방과후학교 운영,40700000
,직업교육,0
,국제교육,0
,독서활동,19900000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,20829000
,교무업무 운영,5429000
,생활지도 운영,3400000
,연구학교 운영,8800000
,학습지원실 운영,3200000
,교육여건 개선,0
학교 일반운영,학교 일반운영,185050000
,학교기관운영,33766000
,시설 장비 유지,146684000
,학교운영 협력,4600000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,5000
,반환금,5000
,예비비,0
세출합계,세출합계,375320000
