정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,8750000
,교직원보수,0
,기타 교직원 보수,3000000
,교직원 복지 및 역량강화,5750000
학생복지/교육격차 해소,학생복지/교육격차 해소,274978000
,급식 관리,248860000
,기숙사 관리,0
,보건관리,22618000
,교육격차 해소,0
,학생복지,3500000
기본적 교육활동,기본적 교육활동,154182000
,교과 활동,83732000
,창의적 체험활동,70450000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,156914000
,방과후학교 운영,143924000
,직업교육,0
,국제교육,0
,독서활동,12990000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,37882000
,교무업무 운영,5292000
,생활지도 운영,300000
,연구학교 운영,0
,학습지원실 운영,17290000
,교육여건 개선,15000000
학교 일반운영,학교 일반운영,249612000
,학교기관운영,39730000
,시설 장비 유지,206082000
,학교운영 협력,3800000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,882318000
