정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,81586440
,교직원보수,0
,기타 교직원 보수,67309060
,교직원 복지 및 역량강화,14277380
학생복지/교육격차 해소,학생복지/교육격차 해소,995825800
,급식 관리,674889910
,기숙사 관리,178692200
,보건관리,48472190
,교육격차 해소,13068600
,학생복지,80702900
기본적 교육활동,기본적 교육활동,418349740
,교과 활동,299719620
,창의적 체험활동,118630120
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,26861900
,방과후학교 운영,7000000
,직업교육,0
,국제교육,0
,독서활동,17862700
,교기육성,0
,기타 선택적 교육활동,1999200
교육활동 지원,교육활동 지원,193527330
,교무업무 운영,78561270
,생활지도 운영,58367550
,연구학교 운영,0
,학습지원실 운영,269000
,교육여건 개선,56329510
학교 일반운영,학교 일반운영,316351780
,학교기관운영,117124750
,시설 장비 유지,196673910
,학교운영 협력,2553120
학교시설 확충,학교시설 확충,187096000
,시설확충 및 개선,187096000
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,2219598990
