정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,68317510
,교직원보수,0
,기타 교직원 보수,61421310
,교직원 복지 및 역량강화,6896200
학생복지/교육격차 해소,학생복지/교육격차 해소,914517080
,급식 관리,764442850
,기숙사 관리,0
,보건관리,35047380
,교육격차 해소,27664240
,학생복지,87362610
기본적 교육활동,기본적 교육활동,244175490
,교과 활동,44254540
,창의적 체험활동,183567060
,자유학기(년) 활동,16353890
선택적 교육활동,선택적 교육활동,280898310
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,17707600
,교기육성,263190710
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,238653350
,교무업무 운영,60509780
,생활지도 운영,41888000
,연구학교 운영,3600000
,학습지원실 운영,8614360
,교육여건 개선,124041210
학교 일반운영,학교 일반운영,328143820
,학교기관운영,102762170
,시설 장비 유지,213873130
,학교운영 협력,11508520
학교시설 확충,학교시설 확충,121201480
,시설확충 및 개선,121201480
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,2195907040
