정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,10736220
,교직원보수,0
,기타 교직원 보수,9063220
,교직원 복지 및 역량강화,1673000
학생복지/교육격차 해소,학생복지/교육격차 해소,178489410
,급식 관리,140302590
,기숙사 관리,0
,보건관리,17670820
,교육격차 해소,0
,학생복지,20516000
기본적 교육활동,기본적 교육활동,137288430
,교과 활동,82890150
,창의적 체험활동,24398280
,자유학기(년) 활동,30000000
선택적 교육활동,선택적 교육활동,98094290
,방과후학교 운영,86041260
,직업교육,0
,국제교육,0
,독서활동,8253730
,교기육성,0
,기타 선택적 교육활동,3799300
교육활동 지원,교육활동 지원,130090030
,교무업무 운영,4821020
,생활지도 운영,15117920
,연구학교 운영,0
,학습지원실 운영,7396290
,교육여건 개선,102754800
학교 일반운영,학교 일반운영,171664590
,학교기관운영,46813680
,시설 장비 유지,123364910
,학교운영 협력,1486000
학교시설 확충,학교시설 확충,342249010
,시설확충 및 개선,342249010
학교 재무활동,학교 재무활동,18464000
,반환금,18464000
,예비비,0
세출합계,세출합계,1087075980
