정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,33871980
,교직원보수,0
,기타 교직원 보수,6968590
,교직원 복지 및 역량강화,26903390
학생복지/교육격차 해소,학생복지/교육격차 해소,463681590
,급식 관리,339522720
,기숙사 관리,0
,보건관리,73934460
,교육격차 해소,999680
,학생복지,49224730
기본적 교육활동,기본적 교육활동,341853208
,교과 활동,259268478
,창의적 체험활동,82584730
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,246189730
,방과후학교 운영,231848340
,직업교육,0
,국제교육,0
,독서활동,13841390
,교기육성,500000
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,369392570
,교무업무 운영,22879740
,생활지도 운영,21121280
,연구학교 운영,57184110
,학습지원실 운영,17809690
,교육여건 개선,250397750
학교 일반운영,학교 일반운영,335451388
,학교기관운영,126845490
,시설 장비 유지,195580010
,학교운영 협력,13025888
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,1790440466
