정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,30781923
,교직원보수,0
,기타 교직원 보수,24589180
,교직원 복지 및 역량강화,6192743
학생복지/교육격차 해소,학생복지/교육격차 해소,423081270
,급식 관리,392575230
,기숙사 관리,0
,보건관리,23587000
,교육격차 해소,0
,학생복지,6919040
기본적 교육활동,기본적 교육활동,221892188
,교과 활동,196831048
,창의적 체험활동,25061140
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,275552530
,방과후학교 운영,251205570
,직업교육,0
,국제교육,0
,독서활동,12339400
,교기육성,3261870
,기타 선택적 교육활동,8745690
교육활동 지원,교육활동 지원,159079020
,교무업무 운영,3711690
,생활지도 운영,46978060
,연구학교 운영,17496660
,학습지원실 운영,20223510
,교육여건 개선,70669100
학교 일반운영,학교 일반운영,212314884
,학교기관운영,78260054
,시설 장비 유지,132502830
,학교운영 협력,1552000
학교시설 확충,학교시설 확충,67865480
,시설확충 및 개선,67865480
학교 재무활동,학교 재무활동,209780
,반환금,209780
,예비비,0
세출합계,세출합계,1390777075
