정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,28711000
,교직원보수,0
,기타 교직원 보수,24937000
,교직원 복지 및 역량강화,3774000
학생복지/교육격차 해소,학생복지/교육격차 해소,104871000
,급식 관리,85600000
,기숙사 관리,0
,보건관리,19106000
,교육격차 해소,0
,학생복지,165000
기본적 교육활동,기본적 교육활동,113356000
,교과 활동,55966000
,창의적 체험활동,57390000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,366890000
,방과후학교 운영,338380000
,직업교육,0
,국제교육,0
,독서활동,13510000
,교기육성,11500000
,기타 선택적 교육활동,3500000
교육활동 지원,교육활동 지원,52865000
,교무업무 운영,4833000
,생활지도 운영,19818000
,연구학교 운영,0
,학습지원실 운영,28214000
,교육여건 개선,0
학교 일반운영,학교 일반운영,160923000
,학교기관운영,36579000
,시설 장비 유지,121252000
,학교운영 협력,3092000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,3000000
,반환금,0
,예비비,3000000
세출합계,세출합계,830616000
