정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,6070000
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,6070000
학생복지/교육격차 해소,학생복지/교육격차 해소,1073897000
,급식 관리,954849000
,기숙사 관리,0
,보건관리,35375000
,교육격차 해소,0
,학생복지,83673000
기본적 교육활동,기본적 교육활동,261328000
,교과 활동,139917000
,창의적 체험활동,94211000
,자유학기(년) 활동,27200000
선택적 교육활동,선택적 교육활동,48519000
,방과후학교 운영,341000
,직업교육,0
,국제교육,0
,독서활동,18178000
,교기육성,30000000
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,189855000
,교무업무 운영,61724000
,생활지도 운영,51554000
,연구학교 운영,0
,학습지원실 운영,76577000
,교육여건 개선,0
학교 일반운영,학교 일반운영,195953000
,학교기관운영,47493000
,시설 장비 유지,144060000
,학교운영 협력,4400000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,1775622000
