정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,44037780
,교직원보수,0
,기타 교직원 보수,39740670
,교직원 복지 및 역량강화,4297110
학생복지/교육격차 해소,학생복지/교육격차 해소,981333880
,급식 관리,736902950
,기숙사 관리,0
,보건관리,119486890
,교육격차 해소,316000
,학생복지,124628040
기본적 교육활동,기본적 교육활동,341281870
,교과 활동,289250120
,창의적 체험활동,52031750
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,463462840
,방과후학교 운영,267698730
,직업교육,0
,국제교육,0
,독서활동,32921610
,교기육성,87168170
,기타 선택적 교육활동,75674330
교육활동 지원,교육활동 지원,669998740
,교무업무 운영,102710700
,생활지도 운영,14215940
,연구학교 운영,0
,학습지원실 운영,8889580
,교육여건 개선,544182520
학교 일반운영,학교 일반운영,375392560
,학교기관운영,93736860
,시설 장비 유지,278394700
,학교운영 협력,3261000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,2875507670
