정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,3395109100
,교직원보수,2491934720
,기타 교직원 보수,865911520
,교직원 복지 및 역량강화,37262860
학생복지/교육격차 해소,학생복지/교육격차 해소,481055350
,급식 관리,359704330
,기숙사 관리,0
,보건관리,69362900
,교육격차 해소,1015200
,학생복지,50972920
기본적 교육활동,기본적 교육활동,189277262
,교과 활동,96988250
,창의적 체험활동,72004362
,자유학기(년) 활동,20284650
선택적 교육활동,선택적 교육활동,53808490
,방과후학교 운영,1000000
,직업교육,0
,국제교육,0
,독서활동,52808490
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,624798500
,교무업무 운영,46081270
,생활지도 운영,28978010
,연구학교 운영,0
,학습지원실 운영,102416790
,교육여건 개선,447322430
학교 일반운영,학교 일반운영,252943209
,학교기관운영,39093389
,시설 장비 유지,213075520
,학교운영 협력,774300
학교시설 확충,학교시설 확충,20000000
,시설확충 및 개선,20000000
학교 재무활동,학교 재무활동,260100
,반환금,260100
,예비비,0
세출합계,세출합계,5017252011
