과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,2023462590
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0
,,국고보조금,국고보조금,0
,,,국고보조금,0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,68649000
,,비법정이전수입,비법정이전수입,0
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,0
,,교육경비보조금,교육경비보조금,68649000
,,,광역지방자치단체전입금,62049000
,,,기초지방자치단체전입금,6600000
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,1902504320
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1902504320
,,,교육비특별회계전입금,1902504320
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,52309270
,,학교회계간이전수입,학교회계간이전수입,52309270
,,,학교발전기금전입금,0
,,,다른학교회계전입금,52309270
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,0
,,,기타공공지원금,0
자체수입,자체수입,자체수입,자체수입,546803288
,학부모부담수입,학부모부담수입,학부모부담수입,539722960
,,등록금,등록금,0
,,,학교운영지원비,0
,,수익자부담수입,수익자부담수입,539722960
,,,급식비,53322980
,,,방과후학교활동비,452116740
,,,현장체험학습비,0
,,,청소년단체활동비,0
,,,졸업앨범비,8228000
,,,교과서비,0
,,,기숙사비,0
,,,기타수익자부담수입,11475240
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,14580000
,행정활동수입,행정활동수입,행정활동수입,7080328
,,사용료및수수료,사용료및수수료,120000
,,,사용료및수수료,120000
,,자산수입,자산수입,0
,,,자산매각대,0
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,6960328
,,,지난년도수입,0
,,,이자수입,4205960
,,,기타행정활동수입,2754368
기타수입,기타수입,기타수입,기타수입,51045096
,전년도이월금,전년도이월금,전년도이월금,51045096
,,순세계잉여금,순세계잉여금,38128983
,,,순세계잉여금,38128983
,,정산대상재원사용잔액,정산대상재원사용잔액,0
,,,정산대상재원사용잔액,0
,,이월금,이월금,12916113
,,,이월사업비,12916113
세입합계,세입합계,세입합계,세입합계,2621310974
