정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,40076000
,교직원보수,0
,기타 교직원 보수,27360000
,교직원 복지 및 역량강화,12716000
학생복지/교육격차 해소,학생복지/교육격차 해소,34594000
,급식 관리,7400000
,기숙사 관리,0
,보건관리,26074000
,교육격차 해소,520000
,학생복지,600000
기본적 교육활동,기본적 교육활동,67195000
,교과 활동,46675000
,창의적 체험활동,20520000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,127057000
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,10820000
,교기육성,114927000
,기타 선택적 교육활동,1310000
교육활동 지원,교육활동 지원,42790000
,교무업무 운영,9400000
,생활지도 운영,13290000
,연구학교 운영,0
,학습지원실 운영,14600000
,교육여건 개선,5500000
학교 일반운영,학교 일반운영,157691000
,학교기관운영,39461000
,시설 장비 유지,115788000
,학교운영 협력,2442000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,2000000
,반환금,0
,예비비,2000000
세출합계,세출합계,471403000
