정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,47930000
,교직원보수,0
,기타 교직원 보수,29360000
,교직원 복지 및 역량강화,18570000
학생복지/교육격차 해소,학생복지/교육격차 해소,465358000
,급식 관리,394741000
,기숙사 관리,0
,보건관리,35651000
,교육격차 해소,0
,학생복지,34966000
기본적 교육활동,기본적 교육활동,202465000
,교과 활동,180065000
,창의적 체험활동,22400000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,223942000
,방과후학교 운영,158458000
,직업교육,0
,국제교육,0
,독서활동,16000000
,교기육성,48484000
,기타 선택적 교육활동,1000000
교육활동 지원,교육활동 지원,172824000
,교무업무 운영,114775000
,생활지도 운영,26560000
,연구학교 운영,0
,학습지원실 운영,20360000
,교육여건 개선,11129000
학교 일반운영,학교 일반운영,261481000
,학교기관운영,93565000
,시설 장비 유지,163416000
,학교운영 협력,4500000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,3000000
,반환금,0
,예비비,3000000
세출합계,세출합계,1377000000
