정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,27090000
,교직원보수,0
,기타 교직원 보수,18720000
,교직원 복지 및 역량강화,8370000
학생복지/교육격차 해소,학생복지/교육격차 해소,275502000
,급식 관리,221557000
,기숙사 관리,0
,보건관리,15480000
,교육격차 해소,0
,학생복지,38465000
기본적 교육활동,기본적 교육활동,123835000
,교과 활동,17650000
,창의적 체험활동,106185000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,10550000
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,10550000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,112100000
,교무업무 운영,35800000
,생활지도 운영,11300000
,연구학교 운영,30000000
,학습지원실 운영,8000000
,교육여건 개선,27000000
학교 일반운영,학교 일반운영,143533000
,학교기관운영,52715000
,시설 장비 유지,85768000
,학교운영 협력,5050000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,4000000
,반환금,0
,예비비,4000000
세출합계,세출합계,696610000
