정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,15460000
,교직원보수,0
,기타 교직원 보수,8460000
,교직원 복지 및 역량강화,7000000
학생복지/교육격차 해소,학생복지/교육격차 해소,60318000
,급식 관리,47089000
,기숙사 관리,0
,보건관리,8229000
,교육격차 해소,0
,학생복지,5000000
기본적 교육활동,기본적 교육활동,40809000
,교과 활동,20839000
,창의적 체험활동,19970000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,20080000
,방과후학교 운영,14080000
,직업교육,0
,국제교육,0
,독서활동,6000000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,63475000
,교무업무 운영,19800000
,생활지도 운영,1275000
,연구학교 운영,0
,학습지원실 운영,8900000
,교육여건 개선,33500000
학교 일반운영,학교 일반운영,97545000
,학교기관운영,44648000
,시설 장비 유지,49297000
,학교운영 협력,3600000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,3756000
,반환금,1756000
,예비비,2000000
세출합계,세출합계,301443000
