정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,31240000
,교직원보수,0
,기타 교직원 보수,21840000
,교직원 복지 및 역량강화,9400000
학생복지/교육격차 해소,학생복지/교육격차 해소,299366000
,급식 관리,262107000
,기숙사 관리,0
,보건관리,16997000
,교육격차 해소,0
,학생복지,20262000
기본적 교육활동,기본적 교육활동,126547000
,교과 활동,25908000
,창의적 체험활동,100639000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,85016000
,방과후학교 운영,72462000
,직업교육,0
,국제교육,0
,독서활동,12554000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,85610000
,교무업무 운영,30600000
,생활지도 운영,9010000
,연구학교 운영,0
,학습지원실 운영,7500000
,교육여건 개선,38500000
학교 일반운영,학교 일반운영,159971000
,학교기관운영,56813000
,시설 장비 유지,98108000
,학교운영 협력,5050000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,4000000
,반환금,0
,예비비,4000000
세출합계,세출합계,791750000
