정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,5359530
,교직원보수,0
,기타 교직원 보수,1293240
,교직원 복지 및 역량강화,4066290
학생복지/교육격차 해소,학생복지/교육격차 해소,27957050
,급식 관리,16315030
,기숙사 관리,0
,보건관리,8349220
,교육격차 해소,0
,학생복지,3292800
기본적 교육활동,기본적 교육활동,95171790
,교과 활동,61072150
,창의적 체험활동,30439640
,자유학기(년) 활동,3660000
선택적 교육활동,선택적 교육활동,7732340
,방과후학교 운영,2743800
,직업교육,0
,국제교육,0
,독서활동,4488940
,교기육성,0
,기타 선택적 교육활동,499600
교육활동 지원,교육활동 지원,17240320
,교무업무 운영,3832630
,생활지도 운영,1641800
,연구학교 운영,2328500
,학습지원실 운영,8611860
,교육여건 개선,825530
학교 일반운영,학교 일반운영,99553890
,학교기관운영,33597530
,시설 장비 유지,64581670
,학교운영 협력,1374690
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,253014920
