정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,5880000
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,5880000
학생복지/교육격차 해소,학생복지/교육격차 해소,21835000
,급식 관리,11206000
,기숙사 관리,0
,보건관리,7655000
,교육격차 해소,0
,학생복지,2974000
기본적 교육활동,기본적 교육활동,40785000
,교과 활동,18590000
,창의적 체험활동,18785000
,자유학기(년) 활동,3410000
선택적 교육활동,선택적 교육활동,8345000
,방과후학교 운영,2640000
,직업교육,0
,국제교육,0
,독서활동,5705000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,23460000
,교무업무 운영,5000000
,생활지도 운영,1000000
,연구학교 운영,2000000
,학습지원실 운영,8960000
,교육여건 개선,6500000
학교 일반운영,학교 일반운영,62384000
,학교기관운영,19379000
,시설 장비 유지,41405000
,학교운영 협력,1600000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,162689000
