정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,12848400
,교직원보수,0
,기타 교직원 보수,8951710
,교직원 복지 및 역량강화,3896690
학생복지/교육격차 해소,학생복지/교육격차 해소,337394805
,급식 관리,260545815
,기숙사 관리,0
,보건관리,45001720
,교육격차 해소,0
,학생복지,31847270
기본적 교육활동,기본적 교육활동,225348070
,교과 활동,174694530
,창의적 체험활동,50653540
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,151845260
,방과후학교 운영,118877270
,직업교육,0
,국제교육,0
,독서활동,23259430
,교기육성,0
,기타 선택적 교육활동,9708560
교육활동 지원,교육활동 지원,175596030
,교무업무 운영,7967800
,생활지도 운영,79371250
,연구학교 운영,30447880
,학습지원실 운영,21816350
,교육여건 개선,35992750
학교 일반운영,학교 일반운영,149404265
,학교기관운영,25216125
,시설 장비 유지,117830740
,학교운영 협력,6357400
학교시설 확충,학교시설 확충,326060100
,시설확충 및 개선,326060100
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,1378496930
