정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,1728000
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,1728000
학생복지/교육격차 해소,학생복지/교육격차 해소,102847880
,급식 관리,69593480
,기숙사 관리,0
,보건관리,17411200
,교육격차 해소,0
,학생복지,15843200
기본적 교육활동,기본적 교육활동,135305110
,교과 활동,94208220
,창의적 체험활동,28612950
,자유학기(년) 활동,12483940
선택적 교육활동,선택적 교육활동,202276200
,방과후학교 운영,17382060
,직업교육,0
,국제교육,0
,독서활동,60473970
,교기육성,87897350
,기타 선택적 교육활동,36522820
교육활동 지원,교육활동 지원,137623140
,교무업무 운영,5716140
,생활지도 운영,23227010
,연구학교 운영,37498370
,학습지원실 운영,6198130
,교육여건 개선,64983490
학교 일반운영,학교 일반운영,121090830
,학교기관운영,53680280
,시설 장비 유지,66104070
,학교운영 협력,1306480
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,700871160
