정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,4452000
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,4452000
학생복지/교육격차 해소,학생복지/교육격차 해소,61175000
,급식 관리,45547000
,기숙사 관리,0
,보건관리,14088000
,교육격차 해소,0
,학생복지,1540000
기본적 교육활동,기본적 교육활동,86668000
,교과 활동,16730000
,창의적 체험활동,59938000
,자유학기(년) 활동,10000000
선택적 교육활동,선택적 교육활동,55730000
,방과후학교 운영,2600000
,직업교육,0
,국제교육,0
,독서활동,5600000
,교기육성,46330000
,기타 선택적 교육활동,1200000
교육활동 지원,교육활동 지원,53099000
,교무업무 운영,2389000
,생활지도 운영,15450000
,연구학교 운영,19000000
,학습지원실 운영,6060000
,교육여건 개선,10200000
학교 일반운영,학교 일반운영,122455000
,학교기관운영,58917000
,시설 장비 유지,61678000
,학교운영 협력,1860000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,1000000
,반환금,0
,예비비,1000000
세출합계,세출합계,384579000
