정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,8528830
,교직원보수,0
,기타 교직원 보수,5882000
,교직원 복지 및 역량강화,2646830
학생복지/교육격차 해소,학생복지/교육격차 해소,145437830
,급식 관리,54755900
,기숙사 관리,0
,보건관리,24359430
,교육격차 해소,0
,학생복지,66322500
기본적 교육활동,기본적 교육활동,75333170
,교과 활동,65028790
,창의적 체험활동,10304380
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,67244910
,방과후학교 운영,48724100
,직업교육,0
,국제교육,0
,독서활동,15380120
,교기육성,0
,기타 선택적 교육활동,3140690
교육활동 지원,교육활동 지원,133375910
,교무업무 운영,2363520
,생활지도 운영,12807600
,연구학교 운영,4998710
,학습지원실 운영,5696610
,교육여건 개선,107509470
학교 일반운영,학교 일반운영,141793220
,학교기관운영,47018490
,시설 장비 유지,93287030
,학교운영 협력,1487700
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,571713870
