정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,30155250
,교직원보수,0
,기타 교직원 보수,24735040
,교직원 복지 및 역량강화,5420210
학생복지/교육격차 해소,학생복지/교육격차 해소,326280540
,급식 관리,142458200
,기숙사 관리,0
,보건관리,86200550
,교육격차 해소,0
,학생복지,97621790
기본적 교육활동,기본적 교육활동,384102430
,교과 활동,261203310
,창의적 체험활동,122899120
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,532516280
,방과후학교 운영,230153970
,직업교육,0
,국제교육,0
,독서활동,33285050
,교기육성,118946810
,기타 선택적 교육활동,150130450
교육활동 지원,교육활동 지원,332389610
,교무업무 운영,14395910
,생활지도 운영,30324820
,연구학교 운영,21798610
,학습지원실 운영,22211870
,교육여건 개선,243658400
학교 일반운영,학교 일반운영,329398030
,학교기관운영,93218320
,시설 장비 유지,230039590
,학교운영 협력,6140120
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,1934842140
