정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,7742000
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,7742000
학생복지/교육격차 해소,학생복지/교육격차 해소,119053000
,급식 관리,43528000
,기숙사 관리,0
,보건관리,11128000
,교육격차 해소,0
,학생복지,64397000
기본적 교육활동,기본적 교육활동,68420000
,교과 활동,24450000
,창의적 체험활동,43970000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,51803000
,방과후학교 운영,43000000
,직업교육,0
,국제교육,0
,독서활동,5303000
,교기육성,0
,기타 선택적 교육활동,3500000
교육활동 지원,교육활동 지원,83340000
,교무업무 운영,4100000
,생활지도 운영,11590000
,연구학교 운영,5000000
,학습지원실 운영,6100000
,교육여건 개선,56550000
학교 일반운영,학교 일반운영,98004000
,학교기관운영,33019000
,시설 장비 유지,60905000
,학교운영 협력,4080000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,100000
,반환금,0
,예비비,100000
세출합계,세출합계,428462000
