정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,10305000
,교직원보수,0
,기타 교직원 보수,265000
,교직원 복지 및 역량강화,10040000
학생복지/교육격차 해소,학생복지/교육격차 해소,97131000
,급식 관리,86339000
,기숙사 관리,0
,보건관리,5937000
,교육격차 해소,0
,학생복지,4855000
기본적 교육활동,기본적 교육활동,92415000
,교과 활동,47381000
,창의적 체험활동,35034000
,자유학기(년) 활동,10000000
선택적 교육활동,선택적 교육활동,30357000
,방과후학교 운영,15645000
,직업교육,0
,국제교육,0
,독서활동,11568000
,교기육성,1910000
,기타 선택적 교육활동,1234000
교육활동 지원,교육활동 지원,35002000
,교무업무 운영,8965000
,생활지도 운영,13410000
,연구학교 운영,0
,학습지원실 운영,8627000
,교육여건 개선,4000000
학교 일반운영,학교 일반운영,125111000
,학교기관운영,30306000
,시설 장비 유지,90105000
,학교운영 협력,4700000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,500000
,반환금,0
,예비비,500000
세출합계,세출합계,390821000
