정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,20024210
,교직원보수,0
,기타 교직원 보수,5240410
,교직원 복지 및 역량강화,14783800
학생복지/교육격차 해소,학생복지/교육격차 해소,523589290
,급식 관리,254448470
,기숙사 관리,0
,보건관리,52664740
,교육격차 해소,0
,학생복지,216476080
기본적 교육활동,기본적 교육활동,166400787
,교과 활동,122847347
,창의적 체험활동,43553440
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,141741624
,방과후학교 운영,130217234
,직업교육,0
,국제교육,0
,독서활동,10924390
,교기육성,0
,기타 선택적 교육활동,600000
교육활동 지원,교육활동 지원,216586310
,교무업무 운영,5385770
,생활지도 운영,20532380
,연구학교 운영,74961040
,학습지원실 운영,11379440
,교육여건 개선,104327680
학교 일반운영,학교 일반운영,182466045
,학교기관운영,31918860
,시설 장비 유지,150097185
,학교운영 협력,450000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,2080
,반환금,2080
,예비비,0
세출합계,세출합계,1250810346
